N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,3,1,4,5,1,3,2,1,2
1,4,4,3,2,4,3,2,2,2
2,4,4,2,3,1,5,3,3,4
3,2,2,4,5,2,2,2,2,3
4,1,3,2,3,2,3,2,4,5
5,4,2,1,4,2,5,1,2,3
6,1,2,1,2,1,1,1,1,1
7,1,1,2,1,1,1,4,2,2
8,3,2,2,4,2,4,1,1,1
9,1,1,2,1,3,1,2,1,1
10,4,3,1,5,2,4,1,1,1
11,3,2,3,3,1,2,1,1,1
12,4,1,1,5,1,3,1,1,1
13,1,3,1,4,2,4,1,1,1
14,3,3,5,3,3,1,2,3,2
15,2,2,2,2,3,2,1,2,2
16,2,3,1,2,3,4,3,5,4
17,1,1,1,2,5,3,1,1,1
18,1,1,4,3,2,4,5,5,2
19,4,2,3,4,1,3,1,2,2
20,4,5,4,4,4,5,1,2,3
21,2,3,4,1,2,2,4,3,1
22,2,4,1,4,3,5,2,2,3
24,1,1,2,2,4,2,2,1,3
25,2,5,3,2,2,4,3,4,2
26,2,4,1,4,2,4,1,1,1
27,4,3,5,4,1,3,1,4,3
28,3,1,3,1,2,1,1,1,2
29,2,2,1,2,4,2,1,1,1
30,3,2,2,2,3,3,1,1,1
31,2,2,2,2,4,2,2,1,1
32,1,2,2,1,4,1,1,1,1
33,2,2,1,2,4,1,1,4,1
34,1,1,3,4,1,1,4,3,5
35,1,1,1,2,1,2,3,4,3
36,1,1,1,1,1,1,1,1,1
37,2,3,4,3,4,4,2,1,1
38,4,3,1,4,2,5,1,2,3
39,1,3,4,3,2,1,4,5,3
40,4,4,3,4,1,1,2,5,5
41,2,2,3,3,2,3,2,4,2
42,4,2,4,4,4,3,1,4,4
43,1,1,5,3,1,2,1,1,1
44,4,1,4,3,1,1,1,1,1
45,2,1,3,4,1,2,1,1,1
46,1,1,4,1,1,1,5,2,1
47,2,1,3,4,3,4,1,1,1
48,1,1,2,1,3,3,2,1,1
49,1,2,1,2,4,4,1,1,1
50,4,3,4,4,1,3,1,1,1
51,1,2,3,3,4,4,1,1,1
52,1,2,4,1,1,1,4,3,2
53,1,1,1,2,3,2,2,4,1
54,3,3,3,4,1,4,1,1,1
55,3,3,1,3,3,4,1,1,1
56,4,1,4,5,2,1,1,1,1
57,5,3,1,4,3,5,1,2,1
58,1,2,3,4,1,2,1,2,3
59,5,3,4,2,5,5,3,3,1
60,3,2,3,3,2,5,1,1,4
