N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,3,1,4,5,1,2,1,1,1
1,2,1,2,2,3,1,4,2,1
2,2,2,4,4,3,4,2,1,1
3,4,2,5,4,3,4,1,1,1
4,2,1,2,3,1,1,1,5,5
5,2,1,1,5,1,4,1,2,2
6,4,1,1,4,1,3,1,1,1
7,1,1,2,1,1,1,4,2,2
8,3,2,2,4,2,4,1,1,1
9,1,1,2,1,3,1,2,1,1
10,4,3,1,5,2,4,1,1,1
11,3,2,3,3,1,2,1,1,1
12,4,1,1,5,1,3,1,1,1
13,1,2,1,4,2,4,1,1,1
14,1,1,2,1,3,1,2,1,1
15,3,3,2,3,3,4,2,1,1
16,3,1,2,4,3,1,1,4,2
17,4,2,1,4,4,1,1,1,1
18,3,3,4,3,1,1,4,2,1
19,4,2,3,4,4,1,1,1,1
20,4,2,2,4,1,3,1,1,1
21,1,1,3,1,1,1,4,1,1
22,5,2,1,5,2,4,1,1,1
24,1,1,4,1,1,1,1,4,2
25,2,1,2,4,2,2,1,1,1
26,1,2,1,2,4,1,1,1,1
27,4,3,4,4,3,3,1,1,1
28,3,1,3,1,2,1,1,1,2
29,2,2,1,2,4,2,1,1,1
30,3,2,2,2,3,3,1,1,1
31,2,2,2,2,4,2,2,1,1
32,1,2,2,1,4,1,1,1,1
33,2,2,1,2,4,1,1,4,1
34,2,1,4,3,1,1,2,4,4
35,2,2,5,2,1,1,4,2,1
36,1,1,3,1,4,1,1,4,1
37,3,3,4,3,4,4,2,1,1
38,3,3,2,2,3,3,3,1,1
39,3,2,4,2,4,1,3,2,2
40,2,1,4,2,1,1,4,4,2
41,2,1,2,3,4,1,1,3,1
42,3,1,3,3,4,3,1,1,1
43,3,1,3,3,1,1,1,1,1
44,4,1,4,3,1,1,1,1,1
45,2,1,3,4,1,2,1,1,1
46,1,1,4,1,1,1,5,2,1
47,2,1,3,4,3,4,1,1,1
48,1,1,2,1,3,3,2,1,1
49,1,2,1,2,4,4,1,1,1
50,4,3,4,4,1,3,1,1,1
51,1,2,3,3,4,4,1,1,1
52,1,2,4,1,1,1,4,3,2
53,1,1,1,2,3,2,2,4,1
54,3,3,3,5,1,4,1,1,1
55,3,3,1,3,3,4,1,1,1
56,4,1,4,5,2,1,1,1,1
57,4,2,2,4,3,2,1,1,1
58,2,1,1,3,1,1,1,1,1
59,4,1,2,4,5,5,1,4,1
60,3,4,3,3,5,5,1,1,1
