N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,2.0,1.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0
1,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0
2,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0
3,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
4,5.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,5.0
5,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0
6,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
7,5.0,5.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0
8,4.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,1.0
9,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0
10,4.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0
11,4.0,4.0,4.0,3.0,5.0,5.0,1.0,2.0,2.0
12,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
13,3.0,1.0,1.0,4.0,5.0,5.0,2.0,1.0,1.0
14,4.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0
15,3.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0
16,5.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0
17,4.0,3.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0
18,3.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0
19,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0
20,3.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0
21,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0
22,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0
24,4.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0
25,4.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0
26,3.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0
27,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0
28,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0
29,5.0,5.0,4.0,3.0,4.0,4.0,2.0,1.0,1.0
30,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
31,3.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0
32,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0
33,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
34,5.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,4.0
35,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
36,3.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
37,3.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0
38,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
39,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0
40,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
41,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
42,4.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0
43,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0
44,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0
45,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0
46,4.0,4.0,4.0,2.0,4.0,3.0,5.0,5.0,4.0
47,3.0,2.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0
48,4.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0
49,2.0,2.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0
50,3.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0
51,4.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0
52,4.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0
53,4.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,2.0
54,3.0,3.0,4.0,4.0,3.0,5.0,2.0,1.0,1.0
55,2.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0
56,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0
57,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0
58,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0
59,3.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0
60,4.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,1.0
