N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,3.0
1,4.0,2.0,1.0,5.0,4.0,3.0,2.0,4.0,3.0
2,4.0,5.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0
3,3.0,3.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0
4,4.0,5.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0
5,3.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0
6,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0
7,4.0,5.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0
8,3.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0
9,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0
10,3.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0
11,4.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0
12,3.0,3.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0
13,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0
14,3.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0
15,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0
16,2.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,1.0
17,4.0,3.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0
18,2.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,1.0
19,5.0,5.0,1.0,5.0,5.0,5.0,1.0,2.0,1.0
20,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0
21,4.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0
22,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
24,2.0,2.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0
25,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0
26,4.0,5.0,2.0,4.0,5.0,4.0,1.0,1.0,2.0
27,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0
28,4.0,4.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0
29,3.0,3.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0
30,4.0,4.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0
31,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0
32,4.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0
33,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0
34,4.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0
35,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0
36,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0
37,4.0,4.0,3.0,2.0,5.0,5.0,2.0,1.0,1.0
38,2.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0
39,3.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0
40,3.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0
41,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0
42,4.0,4.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0
43,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0
44,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0
45,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0
46,2.0,4.0,4.0,2.0,3.0,1.0,5.0,4.0,4.0
47,3.0,4.0,3.0,1.0,5.0,4.0,3.0,1.0,1.0
48,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0
49,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
50,1.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0
51,1.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0
52,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0
53,3.0,4.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0
54,4.0,5.0,1.0,5.0,4.0,5.0,1.0,1.0,1.0
55,3.0,3.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0
56,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0
57,5.0,4.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0
58,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0
59,4.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0
60,4.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0
