N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,3,3,1,4,3,3,2,1,2
1,4,4,3,2,4,3,2,2,2
2,4,4,2,3,1,5,3,3,4
3,2,2,4,4,1,2,2,2,3
4,2,1,2,3,1,1,1,5,5
5,2,1,1,5,1,4,1,2,2
6,4,1,1,4,1,3,1,1,1
7,1,1,2,1,1,1,4,2,2
8,4,4,3,4,4,4,1,1,1
9,1,1,2,1,3,1,2,1,1
10,4,3,1,5,2,4,1,1,1
11,3,2,3,3,1,2,1,1,1
12,5,5,4,5,3,5,1,2,3
13,1,3,4,3,1,2,1,1,2
14,3,3,5,3,4,1,2,3,2
15,2,2,2,2,2,2,1,2,2
16,2,3,1,2,5,4,3,5,4
17,1,1,1,2,5,3,1,1,1
18,1,1,4,3,2,4,5,5,2
19,4,2,3,4,1,3,1,2,2
20,4,5,4,4,4,5,1,2,3
21,2,3,4,1,2,2,4,3,1
22,2,4,1,4,3,5,2,2,3
24,1,1,2,2,4,2,2,1,3
25,1,3,4,2,2,4,2,1,2
26,4,4,1,4,5,4,2,2,3
27,4,3,5,4,1,3,1,4,3
28,3,1,2,4,1,1,1,3,5
29,2,3,2,4,4,4,1,1,2
30,2,4,1,4,1,1,1,3,3
31,4,3,4,4,5,4,1,1,1
32,4,4,1,3,3,2,1,5,4
33,4,4,3,3,1,2,3,5,5
34,2,1,4,3,1,1,2,4,4
35,2,2,5,2,1,1,4,2,1
36,1,1,3,1,4,1,1,4,1
37,2,3,4,3,4,4,2,1,1
38,3,3,2,2,3,3,3,1,1
39,3,2,4,2,4,1,3,2,2
40,2,1,4,2,1,1,4,4,2
41,3,3,4,4,1,2,1,5,4
42,4,4,3,4,1,2,1,3,2
43,1,1,1,4,2,2,1,1,1
44,3,3,5,4,2,2,2,5,5
45,5,4,1,5,2,4,1,3,2
46,1,4,1,1,2,1,5,3,3
47,1,3,4,1,4,4,4,1,1
48,3,4,3,2,4,3,1,1,1
49,1,1,3,2,5,3,1,1,1
50,1,1,3,2,5,3,1,1,1
51,3,2,3,3,3,3,2,1,1
52,3,5,5,3,1,1,3,5,5
53,3,4,3,4,5,3,2,5,1
54,2,1,3,4,1,3,1,2,2
55,4,1,3,4,4,5,1,2,2
56,2,3,3,4,1,1,1,4,4
57,5,4,1,5,3,3,1,2,1
58,3,4,4,4,2,3,2,4,2
59,1,4,3,1,3,4,4,4,1
60,3,2,3,3,5,5,1,1,1
