N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0
1,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
2,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0
3,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0
4,3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0
5,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0
6,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
7,5.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0
8,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0
9,3.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0
10,4.0,4.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0
11,4.0,4.0,2.0,5.0,4.0,5.0,1.0,1.0,1.0
12,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0
13,4.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0
14,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
17,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
18,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0
19,1.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0
20,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
21,4.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0
22,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
24,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0
25,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0
26,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
27,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0
28,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0
29,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0
30,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
31,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
32,4.0,4.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
35,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
36,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0
37,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,2.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0
39,4.0,4.0,5.0,3.0,3.0,4.0,1.0,4.0,2.0
40,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0
41,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0
42,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0
43,3.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0
44,3.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0
45,3.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0
46,1.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0
47,4.0,2.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0
48,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0
49,4.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0
50,3.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0
51,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0
52,4.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0
53,4.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,2.0
54,3.0,4.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0
55,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0
56,2.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,2.0
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,3.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0
59,3.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0
60,4.0,4.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0
