N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,1,4,4,4,3,4,1,1,1
1,1,2,1,2,3,1,1,3,4
2,3,5,4,4,4,4,1,3,1
3,3,5,5,3,3,5,2,1,1
4,3,4,4,2,1,1,2,5,5
5,3,4,2,4,1,3,1,4,2
6,1,3,3,3,1,2,3,2,2
7,2,4,5,1,1,1,4,5,5
8,4,4,3,4,4,4,1,1,1
9,4,4,2,4,3,3,1,3,3
10,3,4,1,3,4,3,1,1,1
11,4,3,1,5,3,3,1,1,1
12,1,4,4,3,1,2,1,3,1
13,1,3,4,1,4,4,1,1,1
14,4,3,1,2,4,2,1,1,2
15,1,3,2,1,5,4,3,2,1
16,5,4,4,4,4,4,1,4,2
17,1,1,1,4,4,4,1,1,1
18,1,4,3,1,2,4,5,5,2
19,4,3,4,4,2,2,1,2,2
20,5,3,2,4,2,4,1,2,1
21,3,4,3,1,4,2,3,2,4
22,2,2,3,4,1,1,2,1,4
24,3,5,3,3,2,1,2,4,4
25,2,5,3,2,2,4,3,4,1
26,2,4,1,4,2,4,1,1,1
27,4,3,5,4,1,3,1,4,3
28,3,3,3,4,1,1,1,3,5
29,2,3,2,4,4,4,1,1,2
30,2,4,1,4,1,1,1,3,3
31,4,3,4,4,5,4,1,1,1
32,4,4,1,3,3,2,1,5,4
33,4,4,3,3,1,2,3,5,5
34,3,1,4,2,1,1,1,4,5
35,1,4,5,1,3,3,5,4,4
36,2,3,5,1,1,3,4,5,4
37,1,3,4,1,4,5,4,1,1
38,3,4,2,2,1,3,1,3,3
39,4,3,5,4,1,1,1,4,4
40,3,2,3,2,2,1,3,5,5
41,3,3,4,4,1,2,1,5,4
42,4,4,3,4,1,2,1,3,2
43,1,1,1,4,2,2,1,1,1
44,3,3,5,4,2,2,2,5,5
45,5,4,1,5,2,4,1,3,2
46,1,4,1,1,2,1,5,3,4
47,1,3,4,1,4,4,4,1,1
48,1,4,1,1,5,4,1,1,1
49,1,4,1,4,4,5,1,1,1
50,1,3,1,4,5,5,1,1,1
51,1,3,1,1,5,4,1,1,1
52,1,5,5,1,1,1,4,5,5
53,2,4,2,1,4,4,3,3,1
54,4,5,4,4,3,4,1,1,1
55,3,3,1,5,1,4,1,3,2
56,2,3,3,4,1,1,1,4,4
57,5,4,1,5,3,3,1,2,1
58,3,4,4,4,2,3,2,4,2
59,1,4,3,1,3,4,4,4,1
60,1,4,1,1,5,5,2,1,1
