N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0
1,4.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0
2,5.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0
3,3.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0
4,3.0,4.0,5.0,1.0,2.0,1.0,4.0,5.0,5.0
5,3.0,4.0,5.0,4.0,1.0,2.0,2.0,5.0,4.0
6,1.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0
7,3.0,5.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0
8,2.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0
9,3.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0
10,2.0,4.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0
11,4.0,2.0,4.0,5.0,2.0,3.0,1.0,2.0,1.0
12,1.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0
13,1.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0
14,5.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,4.0
15,1.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0
16,2.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0
17,1.0,2.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0
18,3.0,4.0,4.0,2.0,1.0,1.0,3.0,5.0,2.0
19,2.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0
20,4.0,4.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0
21,5.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0
22,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,1.0
24,4.0,4.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0
25,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0
26,2.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0
27,3.0,4.0,5.0,4.0,1.0,4.0,1.0,5.0,1.0
28,2.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0
29,3.0,3.0,3.0,5.0,4.0,4.0,1.0,2.0,1.0
30,4.0,4.0,4.0,3.0,3.0,3.0,1.0,5.0,3.0
31,2.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,1.0
32,4.0,4.0,3.0,5.0,1.0,2.0,1.0,4.0,2.0
33,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0
34,2.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0
35,1.0,2.0,5.0,1.0,2.0,3.0,5.0,2.0,2.0
36,1.0,2.0,5.0,1.0,2.0,3.0,5.0,3.0,2.0
37,1.0,5.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0
38,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0
39,2.0,2.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0
40,4.0,3.0,4.0,4.0,1.0,2.0,3.0,5.0,4.0
41,5.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,4.0
42,2.0,2.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0
43,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0
44,3.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,4.0
45,1.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0
46,2.0,4.0,3.0,1.0,2.0,1.0,5.0,3.0,4.0
47,1.0,4.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0
48,1.0,4.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0
49,1.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0
50,1.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0
51,1.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0
52,5.0,5.0,4.0,2.0,1.0,1.0,2.0,2.0,5.0
53,3.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0
54,2.0,2.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0
55,2.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,1.0
56,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0
57,4.0,5.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0
58,3.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,3.0
59,3.0,2.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0
60,1.0,4.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0
