"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"26","Heidi Montag","Love It or Leave It",11.9,13.1,10.5,3.7,13.2,24.8,17.9,21,0.8,10.48,21.35,10.9,0.49,1.3,2.2,"25pVbxHtM3TdDA6hHwvLfW",NA,NA,NA,NA,10,"gems-9"
"27","Babybird","You're Gorgeous",13.56,2.38,15,4.38,22.69,24.06,2.94,0.88,6.75,11.6,13.5,3.81,0.69,1.94,2.38,"5COBer69wpwkCPPaLr1gFb",NA,NA,NA,NA,16,"gems-9"
"28","of Montreal","Oslo In The Summertime",14.68,13.53,14.37,12.79,18.05,26.42,13.26,21.32,11.53,14.68,19.84,16.42,0.28,1.47,2.68,"3aWcuInJ6nPVUey0wDQQUL",NA,NA,NA,NA,19,"gems-9"
"29","Beyonc�","Halo",33.47,31.73,54.93,39.13,25.8,34.87,58.87,18.4,16.6,37.01,46.87,17.5,0.76,4.73,3.93,"4JehYebiI9JE8sR8MisGVb",NA,NA,NA,NA,16,"gems-9"
"30","Ace of Base","All That She Wants",19.53,22.29,46.82,20.06,23.82,59.18,28.35,5.41,12.12,26.51,43.76,8.76,0.88,3.59,3.53,"6kWJvPfC4DgUpRsXKNa9z9",NA,NA,NA,NA,17,"gems-9"
"31","Lucky Twice","Lucky",14.14,8.67,22.81,20.71,11.05,35.67,34.57,11.05,7,15.48,35.12,9.02,0.79,1.9,2.95,"4Td50xcLZQOrOHQeG0vULJ",NA,NA,NA,NA,21,"gems-9"
"32","t.A.T.u.","All the Things She Said",25.62,20.69,29.23,19.08,15.54,34.92,46.69,12,13.77,22.03,40.81,12.88,0.72,2.23,3.46,"4bJygwUKrRgq1stlNXcgMg",NA,NA,NA,NA,13,"gems-9"
"33","Fergie","Big Girls Don't Cry",14.79,18.89,30.37,22.11,22.58,32.53,23.74,3.74,15.89,21.75,28.13,9.82,0.72,3.11,3.21,"3Q4WeJmzxuDpzMu9QjQqbM",NA,NA,NA,NA,18,"gems-9"
"34","St. Vincent","I Prefer Your Love",22.29,19.18,23.47,11.94,41.71,5.82,7.65,6.65,16.35,23.72,6.74,11.5,0.82,1.06,2.47,"0Snb87Z4Zdn6YFMicWA7gx",NA,NA,NA,NA,18,"gems-9"
"35","Sandy","Aquela dos 30",16.52,8.64,9.72,11.96,8.28,45.84,20.08,7.76,1.48,11.02,32.96,4.62,0.92,1,2.68,"13P1ZQvK9lejmHM6h8Pnbk",NA,NA,NA,NA,25,"gems-9"
"36","Modern Talking","You're My Heart, You're My Soul",7.59,5.59,15.47,8.53,14.82,24.71,15.71,12.94,5.12,10.4,20.21,9.03,0.58,1.71,2.41,"0Zn63G0XTiqXwr1KSmARWz",NA,NA,NA,NA,18,"gems-9"
"37","Lauran Hibberd","Sugardaddy",6.92,8.38,17.31,21.15,18.69,34.77,20.85,12,2.69,14.49,27.81,7.35,0.65,1.46,2.46,"6eXsSF9ufDWqnCJC4GVIsj",NA,NA,NA,NA,14,"gems-9"
"38","Take That","Love Ain't Here Anymore",17.5,11.5,26.6,29.6,29.4,6.7,6.9,3.3,29.9,22.92,6.8,16.6,0.6,1.3,2.2,"1LtwwvNy05VlULpCTogigr",NA,NA,NA,NA,12,"gems-9"
"39","Joshua Kadison","Jessie",26.71,17.86,27.5,34.79,30.64,14.29,19.14,8.14,27.43,27.5,16.71,17.79,0.41,1.43,2.64,"4n8iSiSWRdaSeSpJMbdk9O",NA,NA,NA,NA,14,"gems-9"
"40","Foster the People","Pumped Up Kicks",22.05,7.95,40.73,3.95,20.05,39,23.09,8.95,8.23,18.95,31.05,8.59,0.87,3.41,3.32,"7w87IxuO7BDcJ3YUqCyMTT",NA,NA,NA,NA,22,"gems-9"
"41","Britney Spears","Where Are You Now",5.12,6.69,25.75,26.06,25.69,7.56,4.62,14.19,23.94,17.86,6.09,19.06,0.74,1.56,2.12,"4MOBPIIRUgHTBAp0NpgLTm",NA,NA,NA,NA,16,"gems-9"
"42","Lily Allen","Smile",19.5,10.11,42.56,16.44,31.89,33.78,15.17,7.5,9.33,24.1,24.47,8.42,0.84,3,3.28,"4aR9bPMAOFySBuQSbVWF3d",NA,NA,NA,NA,18,"gems-9"
"43","Loreen","My Heart Is Refusing Me",29.6,20.3,21.5,6.2,9.7,36.4,55.6,17.2,3.8,17.46,46,10.5,0.82,1.2,2.8,"0sg9jTiFokw2U15qGK7wPK",NA,NA,NA,NA,12,"gems-9"
"44","The Whitest Boy Alive","Keep a Secret",12.69,11.69,14.31,5.12,20,8.31,4,22,11.75,12.76,6.16,16.88,0.57,1,1.75,"7pHWIlKBTQJM9oErC4OzSP",NA,NA,NA,NA,16,"gems-9"
"45","M2M","Don't Say You Love Me",11.27,8.93,23.4,30.53,19.4,34.67,6.73,6.87,6.8,18.71,20.7,6.83,0.76,1.53,2.53,"65i1UPsUtPlEVzewEZR6sY",NA,NA,NA,NA,15,"gems-9"
"46","Sixpence None the Richer","Kiss Me",15.86,6.93,39.64,37.5,26.36,24.86,5.5,6.86,6.14,25.26,15.18,6.5,0.8,3.64,3.5,"754kgU5rWscRTfvlsuEwFp",NA,NA,NA,NA,14,"gems-9"
"47","Emma Bunton","Take My Breath Away",10.08,2.75,22.42,43.58,19.33,15.25,2.25,0.42,7.33,19.63,8.75,3.88,0.83,1.42,2.58,"0wVPsQNQ4tsjTTf2LIdOA7",NA,NA,NA,NA,12,"gems-9"
"48","Bruno Mars","Just the Way You Are",20.29,10.67,45.86,40.24,22.33,45.43,16.81,5.05,9.57,27.88,31.12,7.31,0.89,4.52,3.76,"7BqBn9nzAq8spo5e7cZ0dJ",NA,NA,NA,NA,21,"gems-9"
"49","Lolly","Viva La Radio",21.58,12.42,24,11.33,11.33,39.33,23.17,24.83,1.42,16.13,31.25,13.12,0.68,1.67,2.17,"0N08KoCLrMNg9liFPucWhU",NA,NA,NA,NA,12,"gems-9"
"50","Kings of Convenience","I'd Rather Dance With You",26.64,11.36,26.91,33.91,24.09,30.91,16.36,6.45,5.09,24.58,23.64,5.77,0.68,1.64,3.09,"4hGOhC87bn7JBdYykOJJvJ",NA,NA,NA,NA,11,"gems-9"
