"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"26","Bonobo","Nightlite",37.07,29.6,17.87,13.6,26.13,25.47,28.4,12.8,10.8,24.85,26.93,11.8,0.42,1.2,3.27,"1gI1nC5E3ObyMtejdc8crP",NA,NA,NA,NA,16,"gems-9"
"27","Flux Pavilion","I Can't Stop",25.53,32,10.84,11.21,14.26,38.68,42.47,31.21,5.21,18.77,40.58,18.21,0.8,2,2.79,"5WSL7UTa38jMWoBzObD4BD",NA,NA,NA,NA,19,"gems-9"
"28","Everything But the Girl","Low Tide Of The Night",29.83,23.08,34.5,26.25,43.42,26,11.83,4.25,1,31.42,18.92,2.62,0.74,1.17,3,"06bJuoqZDzxSINQFREVLu0",NA,NA,NA,NA,11,"gems-9"
"29","Nero","My Eyes",18.93,23.33,10.87,4.13,10.13,20.47,43.27,37.07,5.27,13.48,31.87,21.17,0.85,1.13,2.4,"4gMIZhJUOCjmQxo1fwhhnK",NA,NA,NA,NA,15,"gems-9"
"30","ATB","9pm (Till I Come)",27.82,24.91,55.45,22.27,10.18,32.27,33.27,11.45,4.18,28.13,32.77,7.82,0.82,3,2.82,"1CgbwsrNDlFrRuk2ebQ7zr",NA,NA,NA,NA,11,"gems-9"
"31","Burial","Untrue",10.28,15.83,15.5,7.94,14.06,23.33,21.61,21.11,6.44,12.72,22.47,13.78,0.35,1.22,2.11,"1aaIYTqoRDzRUilU2Q6vTe",NA,NA,NA,NA,18,"gems-9"
"32","The Cinematic Orchestra","Ma Fleur",17.31,14.94,26.25,27.62,42.5,10.5,11.69,8.25,19.88,25.73,11.09,14.06,0.74,1,2.5,"3AqPL1n1wKc5DVFFnYuJhp",NA,NA,NA,NA,19,"gems-9"
"33","BANKS","Beggin for Thread",14.2,20.28,12.96,12.88,12.72,15.88,20.68,10.6,7.64,14.61,18.28,9.12,0.37,1.4,2.36,"4PvD06Pmbm2rHG2JjSlElF",NA,NA,NA,NA,25,"gems-9"
"34","Passion Pit","Sleepyhead",9.22,12.72,14.78,4.67,10.39,34.33,18.11,19.89,1.94,10.36,26.22,10.92,0.79,1.28,2.61,"4prEPl61C8qZpeo3IkYSMl",NA,NA,NA,NA,18,"gems-9"
"35","Thievery Corporation","The Richest Man in Babylon",10.93,11.73,11.87,11.67,28.07,31.2,29.87,8.27,7.07,14.85,30.53,7.67,0.71,1.47,2.73,"20F3FcES8KU4kffMCkFgNN",NA,NA,NA,NA,16,"gems-9"
"36","Kylie Minogue","Skirt",13.29,11.29,11,11.14,3.43,37.93,47.36,22.71,0.36,10.03,42.64,11.54,0.84,1.5,3.14,"4HS4veWZYPzHvEmVxrVEoy",NA,NA,NA,NA,14,"gems-9"
"37","Sia","The Church of What's Happening Now",40.23,34.85,38.77,37.23,48.85,15.77,12.46,10.54,40.85,39.98,14.12,25.69,0.78,1.23,3.08,"2NIq6qD7oM7SRT0C7kobr5",NA,NA,NA,NA,15,"gems-9"
"38","Darren Styles","Cutting Deep",10.36,26.43,5.29,0,5.36,42.21,36.29,27.93,1.71,9.49,39.25,14.82,0.85,1.21,2.71,"2GOGJIN0VMUFrHtyKvmkQn",NA,NA,NA,NA,14,"gems-9"
"39","Hooverphonic","One",19.69,17.62,30.06,34.31,33.75,12.12,6.5,6.62,12.62,27.09,9.31,9.62,0.81,1.06,2.56,"6g7ervcGNeDlHFQFXkcSzS",NA,NA,NA,NA,15,"gems-9"
