"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"46","Bartok","Sonata 2 pianos percussion",22.88,24.6,5.95,3.65,10.91,19.67,16.21,43.49,0,13.6,17.94,21.74,0.91,1.37,2.44,NA,NA,NA,NA,NA,43,"gems-45_mx"
"47","Schumann","Fantasie in C-Dur",25.51,28.02,36.72,19.33,33.35,16.95,9.91,7.42,5.33,28.59,13.43,6.37,0.85,1.81,3.28,NA,"https://youtube.com/clip/UgkxBPp9LjwU7gLOe1-5XELHnxiPMvjcs21p","UgkxBPp9LjwU7gLOe1-5XELHnxiPMvjcs21p","0:32","1:26",43,"gems-45_mx"
"48","Schumann","Kinderszenen",15.17,11.57,7.37,8.7,33.43,33.6,12,14.63,0,15.25,22.8,7.32,0.83,1.4,2.8,NA,"https://youtube.com/clip/Ugkx1wCT-CLUHGwzRcnGNdGJAm4MBm_L2YeX","Ugkx1wCT-CLUHGwzRcnGNdGJAm4MBm_L2YeX","6:08","6:58",30,"gems-45_mx"
"49","Grieg","Norwegische T�nze",30.7,31.33,2.5,3.6,7.9,45.1,46.53,31.4,1.03,15.21,45.82,16.22,0.93,1.57,3.1,NA,"https://youtube.com/clip/Ugkxcc9YKG2q1GfRf8iIrnDt57MeAktVbXQ4","Ugkxcc9YKG2q1GfRf8iIrnDt57MeAktVbXQ4","1:24","1:55",30,"gems-45_mx"
"50","Schumann","�tudes Symphoniques",29.27,26.1,46.53,42.3,51.8,19.43,2.63,7.2,6,39.2,11.03,6.6,0.91,1.47,3.47,NA,"https://youtube.com/clip/UgkxeaiQlOcZlPXdHeVZSVKb8xFQrGLdUoxB","UgkxeaiQlOcZlPXdHeVZSVKb8xFQrGLdUoxB","15:47","16:33",30,"gems-45_mx"
"51","J.S. Bach","Konzert 2 Violinen, 2. Satz",28.92,12.8,33.6,33.88,59.32,15.92,5.56,6.08,7.64,33.7,10.74,6.86,0.91,1.4,3.4,NA,NA,NA,NA,NA,25,"gems-45_mx"
"52","Mozart","25. Sinfonie (I. Allegro con brio)",31.68,28.84,21.48,7.08,12.68,55.92,32.84,20.6,3.2,20.35,44.38,11.9,0.88,1.84,3.64,NA,"https://youtube.com/clip/Ugkxdi4Q847_5HcKNDrEwByurSLRuDA0fG3e","Ugkxdi4Q847_5HcKNDrEwByurSLRuDA0fG3e","0:08","0:50",25,"gems-45_mx"
"53","Beethoven","Sonate Nr. 8, 2. Satz",21.32,27.52,44.2,39.88,59.84,6.68,1.4,6.96,28.4,38.55,4.04,17.68,0.9,2.44,3.76,NA,"https://youtube.com/clip/UgkxMr_kC15HJ_96um1vERtcnQbVWTByXf_r","UgkxMr_kC15HJ_96um1vERtcnQbVWTByXf_r","0:18","1:15",25,"gems-45_mx"
"54","Bizet","Carmen (Habanera)",30.69,11.93,20.14,15.14,17.1,31.21,28.93,7.66,4.93,19,30.07,6.29,0.72,3.17,3.28,NA,"https://youtube.com/clip/UgkxH5OjhFpFt-iY89uRAYiUQnuGx9mBA4au","UgkxH5OjhFpFt-iY89uRAYiUQnuGx9mBA4au","0:57","1:37",29,"gems-45_mx"
"55","Chopin","Revolutionary Etude",25.48,25.24,10.14,3,6.62,28.41,25.24,21.48,2.93,14.1,26.83,12.21,0.78,1.62,2.93,NA,NA,NA,NA,NA,29,"gems-45_mx"
"56","Liszt","Spanish Rhapsody",27.79,22.9,41.41,32.07,45.83,17.9,2.72,6.45,1.9,34,10.31,4.17,0.9,1.66,3.21,NA,"https://youtube.com/clip/UgkxmRT7QX3F7nXMsy5e574VbVXNvsvM_VxF","UgkxmRT7QX3F7nXMsy5e574VbVXNvsvM_VxF","8:15","9:06",29,"gems-45_mx"
"57","Brahms","Sonate Nr. 2 f�r Klarinette, 1. Satz",19.16,24.95,44.35,37.51,51.03,16.41,5.95,7.27,1.32,35.4,11.18,4.3,0.93,1.3,3.32,NA,"https://youtube.com/clip/Ugkxm14v7zN8tkTO9rb9PQWL08fFY_zEkLRy","Ugkxm14v7zN8tkTO9rb9PQWL08fFY_zEkLRy","0:00","0:54",37,"gems-45_mx"
"58","Mussorgsky","Bilder einer Ausstellung",32.89,27.89,7.14,0,0,41.81,50.11,46.89,0,13.58,45.96,23.45,0.96,1.32,3.11,NA,"https://youtube.com/clip/Ugkx91mTFEVcvkA0MA3pwqZq6LccGPuvSzCV","Ugkx91mTFEVcvkA0MA3pwqZq6LccGPuvSzCV","23:40","24:47",37,"gems-45_mx"
"59","Debussy","Arabesque No. 1",26.35,35.51,52.95,45.62,65.32,13.24,1.81,2.11,5.24,45.15,7.53,3.68,0.96,1.41,3.57,NA,"https://youtube.com/clip/Ugkx3dXVQbl5FjLlTEYPQ1I68-cvNf8w8_hW","Ugkx3dXVQbl5FjLlTEYPQ1I68-cvNf8w8_hW","0:00","0:45",37,"gems-45_mx"
"60","Skrjabin","Pr�ludes op. 11 no. 1",29.2,23.06,34.54,28.09,36.91,16.11,9.54,1.91,11.91,30.36,12.83,6.91,0.84,1.54,3.26,NA,"https://youtube.com/clip/UgkxA4dsRXpLLHK8eSjZEwi_w6ZVBO-q8r36","UgkxA4dsRXpLLHK8eSjZEwi_w6ZVBO-q8r36","0:08","1:02",35,"gems-45_mx"
"61","Tschaikowski","Slawischer Marsch",21.8,25.51,6.31,7.69,7.4,26.11,25.14,42.69,2.34,13.74,25.63,22.51,0.86,1.8,2.46,NA,"https://youtube.com/clip/UgkxwFdtSCqCkK2IHy3CMeb2wrYzQbdPltfz","UgkxwFdtSCqCkK2IHy3CMeb2wrYzQbdPltfz","2:00","2:47",35,"gems-45_mx"
"62","Verdi","der Troubadour",21.51,22,4.86,10.14,21.94,34.4,26.6,10.34,0,16.09,30.5,5.17,0.84,1.49,2.6,NA,"https://youtube.com/clip/UgkxKBHZ5fuExQ4dwhTRRQtwxOKePzXeczYe","UgkxKBHZ5fuExQ4dwhTRRQtwxOKePzXeczYe","2:05","2:43",35,"gems-45_mx"
"63","Lalo","Symphonie espagnole",34.46,28.17,15.62,12,23.5,45.38,22.46,8.25,0,22.75,33.92,4.12,0.86,1.92,3.29,NA,"https://youtube.com/clip/UgkxUZYPzWKM30sUaKQw_uvovRYp978C0MYu","UgkxUZYPzWKM30sUaKQw_uvovRYp978C0MYu","0:30","1:10",24,"gems-45_mx"
