,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,genre
33,34,October Tide,Blackness Devours,17.07,25.33,7.6,2.13,3.27,12.87,42.8,47.27,16.8,5KjDr2aEWTdOxdOs4gcuac,rock
34,35,Ridgewalkers,Find (Andy Moor Remix),29.93,33.86,28.14,20.71,18.86,40.64,46.5,23.5,12.57,5DpHrixQf7FfpAQJLAX2Fw,electronic
35,36,Alcazar,This Is The World We Live In,18.29,20.47,30.18,13.94,11.94,49.0,45.12,6.88,2.12,6HuwtnWUE0Y7MKUvoOyb2F,pop
36,37,Dinah Washington,Cry Me a River,29.0,28.55,38.45,40.36,37.0,24.0,29.64,12.91,34.18,4ydtQJImyQg6UDFFZBzgxp,jazz
37,38,Boney M.,Rasputin,15.0,22.25,31.25,2.05,9.35,64.95,51.6,12.9,0.7,5jkFvD4UJrmdoezzT1FRoP,funk_soul
38,39,Donna Summer,Winter Melody,29.32,23.11,35.63,36.47,45.47,45.84,22.84,7.11,15.74,1zHOjqf8DqjNq6OB7Y5mrF,funk_soul
39,40,Tonight Alive,Let It Land,12.56,22.78,35.39,6.61,9.5,40.0,37.83,19.17,13.78,3aKPJyIFrJAPTPWs2yy0IX,rock
40,41,My Dying Bride,Your River,9.57,13.71,13.71,1.24,8.05,6.48,29.57,42.0,14.67,6FMcHZ5FuBpPkD4IHVyrM9,rock
41,42,Sara Bareilles,Undertow,28.68,22.91,28.36,43.36,37.41,30.95,20.27,7.41,10.77,0tozhA4AZE7kDEvlcxCzP1,rock
42,43,Leona Lewis,Bleeding Love,18.39,13.67,44.61,35.89,22.94,30.67,37.22,3.78,20.44,7wZUrN8oemZfsEd1CGkbXE,pop
43,44,Anathema,Crestfallen,4.44,6.69,2.69,1.69,5.56,5.0,25.06,51.62,13.94,3Ca1PahHy0AowFpNwHzJM2,rock
44,45,Submotion Orchestra,Eyeline,25.67,18.73,12.67,10.87,14.73,10.93,23.67,14.2,11.6,2sqeVVvHRuskC1E4nA1Xls,electronic
45,46,September,R.I.P.,12.0,6.65,12.0,8.88,3.88,31.47,30.35,10.12,5.65,4BPyxkPrDW7tsb86HUnb04,electronic
46,47,Djavan,Serrado,15.17,5.92,11.92,14.83,29.67,43.58,11.83,8.33,3.67,7EjRiBMib2EG0cdMEXavbC,jazz
47,48,Christina Aguilera,Something's Got a Hold on Me,19.92,10.08,29.92,12.0,18.25,42.92,47.75,5.33,1.25,2CVMTJWBqbtaCWNWbcBZae,funk_soul
48,49,Ana Carolina,"Tá rindo, é?",15.8,9.85,18.2,27.45,30.3,25.65,16.1,10.05,1.65,65GmViOSKcP7jK0wNqRs8r,jazz
49,50,The Whispers,And the Beat Goes On,23.65,15.5,30.55,18.55,24.85,51.3,23.7,11.1,5.75,7oQ1wkBmYSBEC2x7U08dvn,funk_soul
50,51,Cobra Starship,"One Day, Robots Will Cry",12.38,21.52,28.52,14.86,13.24,43.05,46.38,19.05,5.0,76ohTRgQXmyTJrt8rgMbH2,rock
51,52,Yellowcard,Everywhere,23.27,34.18,32.09,6.0,7.09,44.55,39.09,15.36,12.18,4A3H0I1iSmYiHh5IScsBX5,rock
52,53,Portishead,Glory Box,29.18,16.09,33.55,36.73,25.09,17.73,13.36,2.27,13.09,3Ty7OTBNSigGEpeW2PqcsC,electronic
53,54,Rihanna,Diamonds,43.0,21.82,35.55,23.55,24.73,58.91,47.36,4.18,5.82,1z9kQ14XBSN0r2v6fx4IdG,pop
54,55,Al Green,Let's Stay Together,24.93,25.57,33.43,51.64,42.36,44.93,16.5,7.14,7.36,63xdwScd1Ai1GigAwQxE8y,funk_soul
55,56,New Found Glory,This Disaster,13.71,16.14,20.64,5.14,7.57,35.71,40.36,26.0,10.29,2VHAQ84pzRe11YdMUDZzMZ,rock
56,57,All Time Low,Time-Bomb,20.62,11.69,25.38,14.5,9.25,46.62,51.0,28.06,10.38,2qqn52sp9dDk2F9PdTrpwZ,rock
57,58,The Ink Spots,I Don't Want to Set the World on Fire,21.25,16.19,52.0,32.88,51.19,19.38,6.38,1.25,17.69,777zXDJpBufzttU4AJ2dGO,jazz
58,59,The Weeknd,The Town,24.28,17.67,14.89,19.11,14.83,15.22,18.0,26.28,9.06,7jGr8wzgwOVLuktY66qM5f,electronic
59,60,"Earth, Wind & Fire",Boogie Wonderland,19.46,16.46,43.88,13.73,18.85,56.46,33.27,5.88,4.54,6ztstiyZL6FXzh4aG46ZPD,funk_soul
60,61,Sister Sledge,Frankie,22.0,12.56,46.12,39.69,37.88,49.06,21.12,7.19,11.69,6th7K3C0mmxk5AlT4x4oro,funk_soul
61,62,The Andrews Sisters,In the Mood,24.67,18.53,30.4,6.93,13.8,56.13,36.27,7.93,0.8,6jO6eAQG1JW7fel2csJ5XQ,jazz
62,63,Deee-Lite,Apple Juice Kissing,9.3,6.78,11.74,25.22,14.19,13.33,10.41,9.96,1.44,7fh5bhI5rzRBcSX9IKFNir,electronic
63,64,Shpongle,I Am You,9.93,15.43,2.79,2.79,1.86,20.29,17.57,32.64,1.86,3k3RK6cRZa165izv0rTv4Z,electronic
64,65,Nicki Minaj,Starships,17.28,24.5,15.56,12.89,8.33,55.33,42.39,28.83,2.61,1oHNvJVbFkexQc0BpQp7Y4,pop
65,66,Squirrel Nut Zippers,Low Down Man,17.5,15.08,31.33,34.5,34.08,5.92,3.75,9.33,24.67,0Ta1U180vOfj8LlhUM1Qvh,jazz
66,67,George Benson,Turn Your Love Around,24.54,27.54,42.31,36.77,38.0,51.85,26.92,4.38,5.31,6a899bXlCuViXW2Qs8Rdqo,jazz
67,68,Itamar Assumpção,Beijo na Boca,17.42,5.25,11.92,8.5,24.83,39.33,16.08,3.33,1.75,034M638G8hvIQ5WfSxJ9gS,funk_soul
68,69,Santa Esmeralda,Don't Let Me Be Misunderstood,20.94,10.17,7.61,6.61,16.61,45.94,31.94,11.17,1.94,6rhVKeUhQTGLIRmQOfc9Wo,funk_soul
69,70,The Pointer Sisters,He's So Shy,16.14,14.71,32.0,34.43,21.21,28.64,24.21,6.21,8.57,6R9NqD0WX9sJYs6PbA5onu,funk_soul
70,71,James Brown,Funky Drummer,14.48,15.0,26.04,8.35,15.39,45.39,37.57,19.96,3.0,0VbpqlboEkGQ7Pu6juJljZ,funk_soul
71,72,Atomic Kitten,It's OK!,13.36,19.73,26.55,22.18,34.82,28.91,16.27,5.64,15.91,7fQrbv4s2XyMwVCIKenI26,pop
72,73,Vinícius de Moraes,Samba em Prelúdio,29.77,18.15,35.23,37.15,32.31,14.85,4.92,2.15,19.85,7yYKjc8k6UrqeBig0bDeFy,jazz
73,74,Chet Baker,The Thrill Is Gone,33.83,27.0,37.08,41.42,55.08,3.67,3.0,6.67,47.08,0kKQreifydSOeqZzHkNW67,jazz
74,75,Gino Vannelli,Wheels Of Life,28.74,13.58,38.16,48.89,31.26,17.84,18.63,1.37,19.0,7uE9ZeScOg28zFE7OHQxuR,jazz
75,76,The Chakachas,Jungle Fever,14.95,12.7,6.15,12.55,11.0,22.8,11.7,27.85,2.95,2QEhVc7hg5Z5yI8UPOSRk8,funk_soul
76,77,Jennifer Hudson,Moan,25.0,22.55,32.45,52.09,54.0,21.09,33.0,5.55,26.36,5jpo5CggeyVEQSHoXVhBqh,funk_soul
77,78,Bosson,One In A Million,23.65,13.65,25.53,34.82,20.47,37.0,21.76,6.29,14.12,3y1cXTre9LcmTxgqbKSqZY,pop
78,79,Melody Gardot,Worrisome Heart,29.67,22.17,32.17,37.25,37.33,28.5,24.75,15.08,14.08,3zh5km8gPDYMiWvmLTsos0,jazz
79,80,Michael Jackson,Love Never Felt So Good,20.08,18.38,21.77,30.54,5.92,55.23,37.46,6.54,3.69,48td6xvpokdYwvbl3JIiXP,funk_soul
80,81,Emika,Drop the Other,27.39,32.0,19.33,12.61,22.17,23.0,34.5,26.17,11.67,1sHoqPtMfaZML6P77Q586a,electronic
81,82,MFSB,T.S.O.P. (The Sound Of Philadelphia),20.36,18.07,29.14,11.43,10.29,46.64,36.93,10.07,3.0,7kllQQPam6HumbUCIPSvHJ,funk_soul
82,83,Avril Lavigne,I'm with You,17.94,8.17,48.61,39.22,22.39,14.17,18.56,4.61,15.89,1jlG3KJ3gdYmhfuySFfpO1,rock
83,84,Sébastien Tellier,La Ritournelle,30.67,21.92,33.17,34.67,57.17,5.75,4.33,6.83,55.33,0qG1teoBvooRo7Z5Z8edCk,electronic
84,85,Strike,O Teu Olhar,15.45,10.36,8.73,3.91,5.82,40.82,36.18,22.55,0.45,4wGDJMUhcFy1j7XWo5ve4K,rock
85,86,Chicane,Autumn Tactics,16.82,14.06,21.53,16.0,23.53,16.71,9.53,8.65,18.47,7LmG4gBYF7T53JVfgVVFKy,electronic
86,87,Katatonia,Teargas,12.53,20.67,14.8,7.27,4.33,14.33,20.87,25.13,27.13,31kIDIQFtTgVhV6KDwt1PV,rock
87,88,Kool & The Gang,Celebration,22.72,12.72,48.92,8.08,18.0,69.0,41.48,2.4,0.08,3K7Q9PHUWPTaknlbFPThn2,funk_soul
88,89,Cerrone,Give Me Love,24.82,19.59,35.47,16.76,25.12,39.88,27.94,14.12,10.88,30EaKbkhCzCAxVccAaYzGA,funk_soul
89,90,We the Kings,All Again for You,15.16,13.26,27.95,11.26,10.11,61.32,43.53,12.84,9.53,1zMc2ZD35IDeYlNANbnF0w,rock
90,91,Jamiroquai,Automaton,18.94,21.31,8.69,5.44,8.38,39.66,31.03,28.66,1.38,42dJ29C11xlJTLkRVmKty1,funk_soul
91,92,The Brand New Heavies,Dream On Dreamer,23.79,14.64,23.43,13.36,24.0,26.64,16.43,13.71,9.43,1EIl3D1fyxXRuzcUw3bxen,funk_soul
92,93,Paradise Lost,True Belief,7.93,17.87,5.93,1.2,1.53,7.93,26.13,26.27,14.87,3mfwwUEFwXERswYBqhKcTC,rock
93,94,Paramore,That's What You Get,14.0,12.78,34.0,8.91,6.74,37.35,31.61,8.57,3.96,1JdKrFyoU05abww0Zv0ayQ,rock
94,95,Diana Ross,The Best Years Of My Life,12.23,7.23,23.69,39.23,33.0,5.38,2.38,4.54,25.54,7xTAPIggS2K1UcTF0HXkak,funk_soul
