"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"47","Joss Stone","Headturner",12.38,11.38,34.54,13.08,7.15,43.46,52.46,28.46,0.38,15.71,47.96,14.42,0.88,2.46,2.69,"7MX14dwZzEIg84qKdlWTHv",NA,NA,NA,NA,14,"gems-9"
"48","Imagination","Music and Lights",28.6,17.87,40.8,33.67,22.4,52.33,30.6,4.73,0.47,28.67,41.47,2.6,0.87,1.73,3.47,"3kEA66ZM9mCxwhynOxgsLh",NA,NA,NA,NA,15,"gems-9"
"49","Five Star","Let Me Be The One",4.29,1.29,20.88,14.12,7.65,36.18,15.71,6.82,1.29,9.65,25.94,4.06,0.84,1.12,2.94,"7Ly6unSf5gXUdF3S3nGlSH",NA,NA,NA,NA,17,"gems-9"
"50","Chaka Khan","So Naughty",13.45,15.64,11.27,20.55,6.73,26.73,33.45,13.18,8.09,13.53,30.09,10.64,0.59,1.64,2.36,"1CpsuBEVGtEMR8MqoCa3gK",NA,NA,NA,NA,13,"gems-9"
"51","Bootsy Collins","I'd Rather Be With You",6.71,8.53,25.18,9.65,5.76,18.24,23.35,8.35,8.94,11.16,20.79,8.65,0.69,1.06,2.06,"42rFOQqHmXf9IkdwVqkooK",NA,NA,NA,NA,17,"gems-9"
"52","Sly & The Family Stone","(You Caught Me) Smilin'",6.85,5.31,22.08,14.77,16.85,25.62,22.31,8.85,9.15,13.17,23.96,9,0.54,1.54,2.69,"5XTiyBLVLjqhAGRcJBUC5F",NA,NA,NA,NA,13,"gems-9"
"53","Kool & The Gang","Steppin' Out",24.13,17.2,28.33,19.4,20.53,49.27,25.6,9.07,1.73,21.92,37.43,5.4,0.86,1.27,3,"05NdLBmUVkXlBpel2QR07Y",NA,NA,NA,NA,15,"gems-9"
"54","Michael Jackson","Ain't No Sunshine",20.57,15.71,29,18.5,12.71,20.71,28.93,10.93,15.07,19.3,24.82,13,0.45,2.43,2.79,"6ac4lvV0LKQlbHYXJ7vTDb",NA,NA,NA,NA,14,"gems-9"
"55","Ben E. King","Stand By Me",33.75,32.62,66.12,57.38,44.88,49,16.75,5.88,37,46.95,32.88,21.44,0.8,4.5,4,"3SdTKo2uVsxFblQjpScoHy",NA,NA,NA,NA,8,"gems-9"
"56","The Pointer Sisters","I'm So Excited",18.18,15.71,50.59,15.24,13.24,69.24,48.35,9.94,1.35,22.59,58.79,5.65,0.96,4.06,4.06,"1ot6jEe4w4hYnsOPjd3xKQ",NA,NA,NA,NA,17,"gems-9"
