"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Spotify ID"
"21","Zero 7","In the Waiting Line",19.79,16.14,26.36,31.5,42.21,25.21,10,8.64,9.86,"5ARrtxJLVCeTv5TWo1oKgC"
"22","Jorge Ben Jor","Mas, Que Nada!",22.36,25.86,36.93,31.57,42.29,31.93,13.29,13.57,12.21,"6U03Orwr5Dxt8jahLnQpYV"
"23","Bobby Caldwell","Open Your Eyes",15.81,14.44,42.44,31.06,40.88,38.88,21.12,5.62,3.56,"1Yrgyxebkguu4MGFkDoINo"
"24","Fiona Apple","The First Taste",19.85,22.69,26.38,32.62,38.77,15.27,14.35,7.81,21.08,"21Xc8hEIzv81jwiftI4hJB"
"25","Tamar Braxton","Sound of Love",11.82,8.29,7.29,7.47,8.12,10.41,14.29,35.88,11.76,"1QSNwan8EvZeJhuDag0aqX"
"26","Céline Dion","Je crois toi",28.93,28.71,26.57,41,30.36,6.5,12.5,13.14,29.14,"3CehtvHVAVPaaukPIIL67r"
"27","Submotion Orchestra","Variations",10.39,7.39,6.44,25.33,33.83,4.28,2.39,5.83,6.94,"3qzxORCDY3UpbvT7p7WYIE"
"28","Rilo Kiley","It Just Is",34.06,16.88,38.69,22.81,27.5,14.69,13.62,5.25,32.62,"26tR002TUAcmtfBLR7hVnS"
"29","The Weeknd","Wicked Games",32.95,25.26,30,46.89,35.26,23.26,37,12.58,11.68,"6VwBbL8CzPiC4QV66ay7oR"
"30","John Farnham","Age of Reason",16.94,10.56,20.11,8.39,16.33,25.33,21.78,11.28,5.56,"3LQde40NABYOH14hWse0Yi"
"31","Duffy","Rockferry",13.7,11.1,18.5,16.1,24.5,4.9,8.2,1.7,17.2,"78twQ5XCFJMTE37ZSU0gsj"
"32","Sarah Vaughan","Misty",10.83,7.52,22.57,13.13,24.96,42.57,13.17,14.35,2,"7gHFBNy0Qn86xGKJ9OdFTw"
"33","Avril Lavigne","Wish You Were Here",22,19.26,40.79,33.26,20.37,31.37,26.74,18.11,16.89,"5XHf9PBxxHmJFuiDkGNIOA"
"34","October Tide","Blackness Devours",17.07,25.33,7.6,2.13,3.27,12.87,42.8,47.27,16.8,"5KjDr2aEWTdOxdOs4gcuac"
"35","Ridgewalkers","Find (Andy Moor Remix)",29.93,33.86,28.14,20.71,18.86,40.64,46.5,23.5,12.57,"5DpHrixQf7FfpAQJLAX2Fw"
"36","Alcazar","This Is The World We Live In",18.29,20.47,30.18,13.94,11.94,49,45.12,6.88,2.12,"6HuwtnWUE0Y7MKUvoOyb2F"
"37","Dinah Washington","Cry Me a River",29,28.55,38.45,40.36,37,24,29.64,12.91,34.18,"4ydtQJImyQg6UDFFZBzgxp"
"38","Boney M.","Rasputin",15,22.25,31.25,2.05,9.35,64.95,51.6,12.9,0.7,"5jkFvD4UJrmdoezzT1FRoP"
"39","Donna Summer","Winter Melody",29.32,23.11,35.63,36.47,45.47,45.84,22.84,7.11,15.74,"1zHOjqf8DqjNq6OB7Y5mrF"
"40","Tonight Alive","Let It Land",12.56,22.78,35.39,6.61,9.5,40,37.83,19.17,13.78,"3aKPJyIFrJAPTPWs2yy0IX"
"41","My Dying Bride","Your River",9.57,13.71,13.71,1.24,8.05,6.48,29.57,42,14.67,"6FMcHZ5FuBpPkD4IHVyrM9"
"42","Sara Bareilles","Undertow",28.68,22.91,28.36,43.36,37.41,30.95,20.27,7.41,10.77,"0tozhA4AZE7kDEvlcxCzP1"
"43","Leona Lewis","Bleeding Love",18.39,13.67,44.61,35.89,22.94,30.67,37.22,3.78,20.44,"7wZUrN8oemZfsEd1CGkbXE"
"44","Anathema","Crestfallen",4.44,6.69,2.69,1.69,5.56,5,25.06,51.62,13.94,"3Ca1PahHy0AowFpNwHzJM2"
"45","Submotion Orchestra","Eyeline",25.67,18.73,12.67,10.87,14.73,10.93,23.67,14.2,11.6,"2sqeVVvHRuskC1E4nA1Xls"
"46","September","R.I.P.",12,6.65,12,8.88,3.88,31.47,30.35,10.12,5.65,"4BPyxkPrDW7tsb86HUnb04"
"47","Djavan","Serrado",15.17,5.92,11.92,14.83,29.67,43.58,11.83,8.33,3.67,"7EjRiBMib2EG0cdMEXavbC"
"48","Christina Aguilera","Something's Got a Hold on Me",19.92,10.08,29.92,12,18.25,42.92,47.75,5.33,1.25,"2CVMTJWBqbtaCWNWbcBZae"
"49","Ana Carolina","Tá rindo, é?",15.8,9.85,18.2,27.45,30.3,25.65,16.1,10.05,1.65,"65GmViOSKcP7jK0wNqRs8r"
"50","The Whispers","And the Beat Goes On",23.65,15.5,30.55,18.55,24.85,51.3,23.7,11.1,5.75,"7oQ1wkBmYSBEC2x7U08dvn"
"51","Cobra Starship","One Day, Robots Will Cry",12.38,21.52,28.52,14.86,13.24,43.05,46.38,19.05,5,"76ohTRgQXmyTJrt8rgMbH2"
"52","Yellowcard","Everywhere",23.27,34.18,32.09,6,7.09,44.55,39.09,15.36,12.18,"4A3H0I1iSmYiHh5IScsBX5"
"53","Portishead","Glory Box",29.18,16.09,33.55,36.73,25.09,17.73,13.36,2.27,13.09,"3Ty7OTBNSigGEpeW2PqcsC"
"54","Rihanna","Diamonds",43,21.82,35.55,23.55,24.73,58.91,47.36,4.18,5.82,"1z9kQ14XBSN0r2v6fx4IdG"
"55","Al Green","Let's Stay Together",24.93,25.57,33.43,51.64,42.36,44.93,16.5,7.14,7.36,"63xdwScd1Ai1GigAwQxE8y"
"56","New Found Glory","This Disaster",13.71,16.14,20.64,5.14,7.57,35.71,40.36,26,10.29,"2VHAQ84pzRe11YdMUDZzMZ"
"57","All Time Low","Time-Bomb",20.62,11.69,25.38,14.5,9.25,46.62,51,28.06,10.38,"2qqn52sp9dDk2F9PdTrpwZ"
"58","The Ink Spots","I Don't Want to Set the World on Fire",21.25,16.19,52,32.88,51.19,19.38,6.38,1.25,17.69,"777zXDJpBufzttU4AJ2dGO"
"59","The Weeknd","The Town",24.28,17.67,14.89,19.11,14.83,15.22,18,26.28,9.06,"7jGr8wzgwOVLuktY66qM5f"
"60","Earth, Wind & Fire","Boogie Wonderland",19.46,16.46,43.88,13.73,18.85,56.46,33.27,5.88,4.54,"6ztstiyZL6FXzh4aG46ZPD"
"61","Sister Sledge","Frankie",22,12.56,46.12,39.69,37.88,49.06,21.12,7.19,11.69,"6th7K3C0mmxk5AlT4x4oro"
"62","The Andrews Sisters","In the Mood",24.67,18.53,30.4,6.93,13.8,56.13,36.27,7.93,0.8,"6jO6eAQG1JW7fel2csJ5XQ"
"63","Deee-Lite","Apple Juice Kissing",9.3,6.78,11.74,25.22,14.19,13.33,10.41,9.96,1.44,"7fh5bhI5rzRBcSX9IKFNir"
"64","Shpongle","I Am You",9.93,15.43,2.79,2.79,1.86,20.29,17.57,32.64,1.86,"3k3RK6cRZa165izv0rTv4Z"
"65","Nicki Minaj","Starships",17.28,24.5,15.56,12.89,8.33,55.33,42.39,28.83,2.61,"1oHNvJVbFkexQc0BpQp7Y4"
"66","Squirrel Nut Zippers","Low Down Man",17.5,15.08,31.33,34.5,34.08,5.92,3.75,9.33,24.67,"0Ta1U180vOfj8LlhUM1Qvh"
"67","George Benson","Turn Your Love Around",24.54,27.54,42.31,36.77,38,51.85,26.92,4.38,5.31,"6a899bXlCuViXW2Qs8Rdqo"
"68","Itamar Assumpção","Beijo na Boca",17.42,5.25,11.92,8.5,24.83,39.33,16.08,3.33,1.75,"034M638G8hvIQ5WfSxJ9gS"
"69","Santa Esmeralda","Don't Let Me Be Misunderstood",20.94,10.17,7.61,6.61,16.61,45.94,31.94,11.17,1.94,"6rhVKeUhQTGLIRmQOfc9Wo"
"70","The Pointer Sisters","He's So Shy",16.14,14.71,32,34.43,21.21,28.64,24.21,6.21,8.57,"6R9NqD0WX9sJYs6PbA5onu"
"71","James Brown","Funky Drummer",14.48,15,26.04,8.35,15.39,45.39,37.57,19.96,3,"0VbpqlboEkGQ7Pu6juJljZ"
"72","Atomic Kitten","It's OK!",13.36,19.73,26.55,22.18,34.82,28.91,16.27,5.64,15.91,"7fQrbv4s2XyMwVCIKenI26"
"73","Vinícius de Moraes","Samba em Prelúdio",29.77,18.15,35.23,37.15,32.31,14.85,4.92,2.15,19.85,"7yYKjc8k6UrqeBig0bDeFy"
"74","Chet Baker","The Thrill Is Gone",33.83,27,37.08,41.42,55.08,3.67,3,6.67,47.08,"0kKQreifydSOeqZzHkNW67"
"75","Gino Vannelli","Wheels Of Life",28.74,13.58,38.16,48.89,31.26,17.84,18.63,1.37,19,"7uE9ZeScOg28zFE7OHQxuR"
"76","The Chakachas","Jungle Fever",14.95,12.7,6.15,12.55,11,22.8,11.7,27.85,2.95,"2QEhVc7hg5Z5yI8UPOSRk8"
"77","Jennifer Hudson","Moan",25,22.55,32.45,52.09,54,21.09,33,5.55,26.36,"5jpo5CggeyVEQSHoXVhBqh"
"78","Bosson","One In A Million",23.65,13.65,25.53,34.82,20.47,37,21.76,6.29,14.12,"3y1cXTre9LcmTxgqbKSqZY"
"79","Melody Gardot","Worrisome Heart",29.67,22.17,32.17,37.25,37.33,28.5,24.75,15.08,14.08,"3zh5km8gPDYMiWvmLTsos0"
"80","Michael Jackson","Love Never Felt So Good",20.08,18.38,21.77,30.54,5.92,55.23,37.46,6.54,3.69,"48td6xvpokdYwvbl3JIiXP"
"81","Emika","Drop the Other",27.39,32,19.33,12.61,22.17,23,34.5,26.17,11.67,"1sHoqPtMfaZML6P77Q586a"
"82","MFSB","T.S.O.P. (The Sound Of Philadelphia)",20.36,18.07,29.14,11.43,10.29,46.64,36.93,10.07,3,"7kllQQPam6HumbUCIPSvHJ"
"83","Avril Lavigne","I'm with You",17.94,8.17,48.61,39.22,22.39,14.17,18.56,4.61,15.89,"1jlG3KJ3gdYmhfuySFfpO1"
"84","Sébastien Tellier","La Ritournelle",30.67,21.92,33.17,34.67,57.17,5.75,4.33,6.83,55.33,"0qG1teoBvooRo7Z5Z8edCk"
"85","Strike","O Teu Olhar",15.45,10.36,8.73,3.91,5.82,40.82,36.18,22.55,0.45,"4wGDJMUhcFy1j7XWo5ve4K"
"86","Chicane","Autumn Tactics",16.82,14.06,21.53,16,23.53,16.71,9.53,8.65,18.47,"7LmG4gBYF7T53JVfgVVFKy"
"87","Katatonia","Teargas",12.53,20.67,14.8,7.27,4.33,14.33,20.87,25.13,27.13,"31kIDIQFtTgVhV6KDwt1PV"
"88","Kool & The Gang","Celebration",22.72,12.72,48.92,8.08,18,69,41.48,2.4,0.08,"3K7Q9PHUWPTaknlbFPThn2"
"89","Cerrone","Give Me Love",24.82,19.59,35.47,16.76,25.12,39.88,27.94,14.12,10.88,"30EaKbkhCzCAxVccAaYzGA"
"90","We the Kings","All Again for You",15.16,13.26,27.95,11.26,10.11,61.32,43.53,12.84,9.53,"1zMc2ZD35IDeYlNANbnF0w"
"91","Jamiroquai","Automaton",18.94,21.31,8.69,5.44,8.38,39.66,31.03,28.66,1.38,"42dJ29C11xlJTLkRVmKty1"
"92","The Brand New Heavies","Dream On Dreamer",23.79,14.64,23.43,13.36,24,26.64,16.43,13.71,9.43,"1EIl3D1fyxXRuzcUw3bxen"
"93","Paradise Lost","True Belief",7.93,17.87,5.93,1.2,1.53,7.93,26.13,26.27,14.87,"3mfwwUEFwXERswYBqhKcTC"
"94","Paramore","That's What You Get",14,12.78,34,8.91,6.74,37.35,31.61,8.57,3.96,"1JdKrFyoU05abww0Zv0ayQ"
"95","Diana Ross","The Best Years Of My Life",12.23,7.23,23.69,39.23,33,5.38,2.38,4.54,25.54,"7xTAPIggS2K1UcTF0HXkak"
"96","Flunk","Six Seven Times",22.89,20.56,28.11,21.67,36,14.28,14.94,5.89,26.17,"2jknEB3TLUX5vEaLI4gttE"
"97","Candlemass","Solitude",14.22,25,6.11,2.28,7.39,14.22,47.17,43.06,17.44,"0v3WyEt2g04WFpfVwcnfXm"
"98","The Format","I'm Actual",22.18,19.41,31.88,24.76,13.88,19.88,26.71,11.35,20.18,"2eHZ6UoAycNv99qKz4PVPg"
"99","Teena Marie","Revolution",5.58,17,18.75,6.08,12.83,29.5,17.92,6.67,7.75,"7re1yRjy442DIAIVUgCaBN"
"100","Ashlee Simpson","Beautifully Broken",18.92,11.69,19.08,20.15,11.23,23.54,18.31,4.23,21.46,"0Z5TwodaWvDGq43AVdnKzn"
"101","Al Jarreau","Ain't No Sunshine",21.31,13.31,47.31,31.77,27.15,32.92,23.69,11.69,18.31,"0Res4ooR61zc5T7m2Fswog"
"102","Lana Del Rey","Born to Die",21.05,9.05,38.79,26.21,28.58,4.21,9,7.63,35.74,"487OPlneJNni3NWC8SYqhW"
"103","Ambrosia","You're the Only Woman",14.35,8.96,35.31,31.15,21.12,27.35,17.5,2.73,10.62,"11qmuUlW5q5diLiVSOlsSF"
"104","Justin Timberlake","Cry Me a River",16.26,8.79,46.42,15.42,21,31.47,19.53,14.89,19.11,"7Lf7oSEVdzZqTA0kEDSlS5"
"105","Michael Bublé","Feeling Good",13.92,10,33,21.92,24.92,15.58,13.33,12.75,5.33,"3I09LQbHS3NSU46Ly3tPpR"
"106","Diana Ross","Upside Down",23.71,18.53,33.65,31.59,24.29,55.41,32.41,2.65,1.65,"3pbtBomO4Zt5gGiqsYeiBH"
"107","Marianas Trench","Good To You",10.16,4.32,14.37,19.95,7.32,24.79,42.26,10.95,13.58,"3eDBBDWXkmH6chzPZhuajx"
"108","Prince & The Revolution","Purple Rain",28.21,31.5,46.86,15.71,15.71,9.79,28.36,7.64,14.93,"54X78diSLoUDI3joC2bjMz"
"109","Lily Allen","Air Balloon",18.37,16.95,14,23.84,18.05,46.63,21.37,6,0.26,"1DIS8YXZKxePLmY7Z8UC4I"
"110","Louis Armstrong","What a Wonderful World",41,25.29,53.43,54.14,52.64,42.57,17.64,3.14,11.79,"29U7stRjqHU6rMiS8BfaI9"
"111","Madonna","Gang Bang",17.94,22.69,10.25,5.56,9.06,29.94,40.06,25.31,6.06,"5IYWdpFJAeKLggc7B8xtJm"
"112","Electric Wizard","The Chosen Few",14.53,19.47,14.67,9.6,9.8,13.67,28.33,27,15,"5qN4DbKNNuIIe7xSlJPco0"
"113","Donna Summer","Autumn Changes",6.6,5.73,13.2,20.73,11.93,31.93,19,8.13,11.6,"4LldsyhaiUL5tcP5uxDBkx"
"114","blink-182","The Girl Next Door",10.9,9,6.8,6.5,3.9,15.3,20.2,28,7.7,"2YmvU7tSabJfECLUutSXJ1"
"115","Village People","Go West",13.24,6.1,48.19,11.33,8.81,53.48,37.95,10.76,5,"5v67uga7IFT3FQhDDBgaY8"
"116","Melanie C","Yeh, Yeh, Yeh",11.19,5,16.38,6.19,10.69,46.62,38,16.19,1.94,"5gEkWBFaVUjzY7Y3sw35UU"
"117","Norah Jones","Humble Me",32.54,29.38,42.08,53.69,56,5.85,13,4.69,57.46,"7BboupyTdAr1nmMJZw0V4h"
"118","Paradise Lost","Gone",16.58,11.5,28,10,24.42,11.83,23.33,11.58,32.58,"7C05KE8DAyWoM4yoEOaq6m"
"119","Morcheeba","Rome Wasn't Built in a Day",25.64,16.64,33.55,50.55,35.45,30.27,20.09,13.27,9.45,"6lsumzVFKP9SnfKcuGwqVp"
"120","Hozier","Take Me to Church",34.45,32.64,40.55,28.82,31.82,25.45,43.55,16.64,29.73,"1CS7Sd1u5tWkstBhpssyjP"
"121","Chico Buarque","Sonho De Um Carnaval",14.46,10.15,19.23,18.46,37.69,18.69,4.62,5.69,7.77,"6VlapIlYfqtoiWsE0DZUsE"
"122","Kendrick Lamar","King Kunta",6.4,10,14.4,0.47,3.8,31.87,39.47,23.6,3.2,"0N3W5peJUQtI4eyR6GJT5O"
"123","Owl City","Fireflies",25.94,29.38,45.56,25.88,27.81,38,21.81,11.38,8.12,"3DamFFqW32WihKkTVlwTYQ"
"124","Neurosis","Fear and Sickness",13.19,15.5,6.81,1.94,1.44,7,49.06,71.81,5.81,"2sXYiWVdddj45DruzNKJGC"
"125","The Temptations","My Girl",17.17,8.56,51.22,39.22,30.33,41.72,20.17,6.56,8.39,"745H5CctFr12Mo7cqa1BMH"
"126","Descendents","Silly Girl",6.39,8.87,10.26,8.74,2,22.39,31.43,21.39,3,"1o0cObpbURSTFEoXSgmL6a"
"127","Michael Learns to Rock","Paint My Love",20.55,9.65,37.1,41.35,37,18.6,5.35,4,17.3,"523iOSL6R2OomhVMGcfxdy"
"128","A*Teens","Rockin'",12.15,5,16.85,11.4,15.5,35.4,14.75,7.35,0.2,"66Ic3dIvBMBV7Oc4PUjw5w"
"129","Mark Ronson","Uptown Funk",11,17,26.47,18,7.47,61.47,51.27,8.53,0.27,"32OlwWuMpZ6b0aN2RZOeMS"
"130","Apparat","Black Water",18.88,22.76,19.47,16,18.88,9,17.12,13.24,26.24,"3mFu6HJLVeyyUyTS1EkHFP"
"131","Sarah Vaughan","He's My Guy",17.75,15.42,26.33,28.08,47.33,33,27.67,7.08,1.58,"5Po3D0fxlUpQTciXYWOmnJ"
"132","Pinball","Come Into My Dream",21.31,10.46,9.77,13.23,9.31,31.15,24.15,19.54,2.92,"2JPFEnjLROchH7qqoRy9Vl"
"133","Heidi Montag","Love It or Leave It",11.9,13.1,10.5,3.7,13.2,24.8,17.9,21,0.8,"25pVbxHtM3TdDA6hHwvLfW"
"134","The Bug","Poison Dart",9.47,8.47,9.2,9.07,9.73,17.33,14.2,44.47,3.4,"7k9XruEHhkEH1I2epEHERo"
"135","Hey Monday","Set Off",2.79,17.14,14.5,13.93,6.07,42.57,36.79,15.79,2.5,"0D5q7zxMaeQ9ekjuTQiryo"
"136","Above & Beyond","Alchemy",18.35,31.71,7.18,14.47,17.82,21.41,25.47,14.76,9.24,"0Xm3H8qUhiUALrZYJyf61f"
"137","WJSN","HURRY UP",8.5,10.25,9.88,3.25,6.5,57.88,28.62,10.81,1.12,"1lAuz7VJzbhhYHTQ11JE12"
"138","Anathema","Judgement",13.64,11.43,16.71,3.57,6,22.93,55.5,43.21,9.79,"0jQxDAN0CBuIdAqbR4OnzV"
"139","Belleruche","Anything You Want (Not That)",13.83,12.25,15.92,14.25,18.17,24.08,10,8.33,2.83,"41fe96o3cxCfvINxcxEe4R"
"140","Lasgo","Alone",1.43,8.64,7.71,5.5,1.71,30.71,26.57,18.71,4.71,"6hVdYM1RKjPIYv17KJ6Cll"
"141","Evelyn Thomas","High Energy",12.33,8.17,20.5,6.25,6.67,38.33,46,23.42,3.83,"2O3JCRH7IvUUbzbxEvoVAi"
"142","Faithless","Insomnia",6.88,7.31,2.12,2.69,8.25,5.19,4.5,36.19,4.88,"7gWc0QEt2hoIkMv3XxPY1T"
"143","Good Charlotte","I Don't Wanna Be In Love (Dance Floor Anthem)",14,10.06,25.06,6.88,11.41,32.53,40.06,13.82,5.41,"36UVZPoK8a1Oxh13cY8kOp"
"144","Bonobo","Nightlite",37.07,29.6,17.87,13.6,26.13,25.47,28.4,12.8,10.8,"1gI1nC5E3ObyMtejdc8crP"
"145","Flux Pavilion","I Can't Stop",25.53,32,10.84,11.21,14.26,38.68,42.47,31.21,5.21,"5WSL7UTa38jMWoBzObD4BD"
"146","Everything But the Girl","Low Tide Of The Night",29.83,23.08,34.5,26.25,43.42,26,11.83,4.25,1,"06bJuoqZDzxSINQFREVLu0"
"147","Babybird","You're Gorgeous",13.56,2.38,15,4.38,22.69,24.06,2.94,0.88,6.75,"5COBer69wpwkCPPaLr1gFb"
"148","Wayne Newton","Danke Schoen",14.71,15.64,38.57,21.5,11.5,23,16.71,13.29,7.5,"1BfbdFWT4wirsQ5BNgmN52"
"149","Phil Collins","Against All Odds (Take a Look at Me Now)",34,21.54,52.77,41.54,31.69,16.62,21.69,0.62,20.31,"63CHa6rmamv9OsehkRD8oz"
"150","Nina Simone","That's All I Ask",24.33,17.6,38.07,43.67,29.67,15.27,18.87,6.4,34.87,"5uI8omnLtzW4xTqJ5AoQtT"
"151","Lacrimas Profundere","The Crown of Leaving",19.29,17.86,17.71,8.57,18.29,12,21.07,24.21,17,"7qNpAPSfPiLQ47cez2IpeW"
"152","Nero","My Eyes",18.93,23.33,10.87,4.13,10.13,20.47,43.27,37.07,5.27,"4gMIZhJUOCjmQxo1fwhhnK"
"153","ATB","9pm (Till I Come)",27.82,24.91,55.45,22.27,10.18,32.27,33.27,11.45,4.18,"1CgbwsrNDlFrRuk2ebQ7zr"
"154","Elis Regina","Como Nossos Pais",20.31,16.56,16.44,23.38,14.62,21.44,19.69,9.19,17.88,"2ZC8sdv4Kvuql7Q9T8Agzv"
"155","Burial","Untrue",10.28,15.83,15.5,7.94,14.06,23.33,21.61,21.11,6.44,"1aaIYTqoRDzRUilU2Q6vTe"
"156","Ella Fitzgerald","The Nearness Of You",30.08,16.58,62.75,36.42,65.33,22.25,11.58,3.83,13.83,"39CdOo5GPGSIdxWDvyyWkr"
"157","Jessie Ware","Swan Song",15,11.08,11.46,19.92,34.38,9,6.31,11.15,18.69,"708jomIP1WJkoinbSJxOGm"
"158","The Cinematic Orchestra","Ma Fleur",17.31,14.94,26.25,27.62,42.5,10.5,11.69,8.25,19.88,"3AqPL1n1wKc5DVFFnYuJhp"
"159","Good Charlotte","March On",18.92,7.85,15.77,12.62,27.23,11.69,2.69,2.62,24.92,"5aj1QFI3B492gzMXgioTqe"
"160","Perlla","No Meu Comando",10.6,12,3.4,7.87,5,22.87,17.87,9.2,2.07,"4A1xnjGKCJWxa6VnUHKdvl"
"161","of Montreal","Oslo In The Summertime",14.68,13.53,14.37,12.79,18.05,26.42,13.26,21.32,11.53,"3aWcuInJ6nPVUey0wDQQUL"
"162","BANKS","Beggin for Thread",14.2,20.28,12.96,12.88,12.72,15.88,20.68,10.6,7.64,"4PvD06Pmbm2rHG2JjSlElF"
"163","The Whispers","Rock Steady",14.53,13,32.35,14.59,13.41,40.82,22.24,7.12,2.76,"1YCsTFttuHAzgfEWKdOb9K"
"164","Beyoncé","Halo",33.47,31.73,54.93,39.13,25.8,34.87,58.87,18.4,16.6,"4JehYebiI9JE8sR8MisGVb"
"165","Passion Pit","Sleepyhead",9.22,12.72,14.78,4.67,10.39,34.33,18.11,19.89,1.94,"4prEPl61C8qZpeo3IkYSMl"
"166","Edwin McCain","I Could Not Ask for More",24.43,10.13,26.37,26.3,22.83,15.3,23.9,7.8,10.7,"14J3PO0VnhtcRa31r7Aj1L"
"167","Ace of Base","All That She Wants",19.53,22.29,46.82,20.06,23.82,59.18,28.35,5.41,12.12,"6kWJvPfC4DgUpRsXKNa9z9"
"168","Duke Ellington","Sophisticated Lady",22,17.42,40.75,30.83,44.5,19.58,9.17,8.5,12.5,"2ua1p76h5Yy2u3dVZ9Qb0l"
"169","Sérgio Mendes","Mas que nada",15.56,17.33,16,12.17,30.78,37.33,20.67,14.28,2.11,"6U7GUjtamt2P0LcFod1dBT"
"170","Trailerpark","Schlechter Tag",26.83,33.67,5.67,7.92,7.42,36,3.92,18.67,0,NA
"171","Desiigner","Panda",40,10.5,1.17,15.5,12.17,45.58,37.42,14.25,1.58,"275a9yzwGB6ncAW4SxY7q3"
"172","NAS","Doo Rags",40.75,31.83,22.75,32.33,26.25,39.42,41.08,0,3.75,"2XQrvYopdCkOenX4Z5CdV7"
"173","DMX","X Gon' Give It To Ya",28.18,12.09,15.82,14.55,15.09,62.09,62.18,0,1.09,"1zzxoZVylsna2BQB65Ppcb"
"174","Xatar","Meine Große Liebe",10.82,27.18,0,15.45,1,22.91,27.18,6.73,0,"7H1xPBRWYLhPGluTUDUYOw"
"175","Biggie Smalls","Hypnotize",44.58,21.58,33.42,12.92,28.25,39.17,23,12.25,0,"6Tsu3OsuMz4KEGKbOYd6A0"
"176","Salt-N-Pepa","Shoop",16.85,13.21,7.79,4.35,14.85,55.62,31.15,4.94,0,"0Pu71wxadDlB8fJXfjIjeJ"
"177","Prinz Pi","Laura",11.03,8.53,10.82,7.56,13.71,6.15,12.97,21.26,14.09,"4pbTElMDaHrkLOfOv8nUdC"
"178","Black Eyed Peas","Where Is The Love",40.67,40.61,29.21,7.06,9.73,37.39,28.48,7.45,14.24,"1FreAz1lmnDi5aKLB6GdFM"
"179","Blumio","Lass Mal Über Haie Reden",10.56,11.22,2.41,5.56,11.89,39.78,27.59,23.96,3.33,"2cdXF2fdd1q3wXg7VnxzEJ"
"180","Cyne","One Day",14.5,9.18,8.25,7.93,18.21,40.54,28.82,9.89,0.82,"46cmIQKXy7Ric5yNZ2tzde"
